id,title,day,thumbnail
348,마도,완결,https://shared-comic.pstatic.net/thumb/webtoon/737021/thumbnail/thumbnail_IMAG06_69e99c6b-6161-4d80-80f7-5cf136fd2976.jpg
349,스피릿 핑거스,완결,https://shared-comic.pstatic.net/thumb/webtoon/654809/thumbnail/title_thumbnail_20150806141807_t125x101.jpg
350,Ho!,완결,https://shared-comic.pstatic.net/thumb/webtoon/638994/thumbnail/title_thumbnail_20141226180133_t125x101.jpg
351,검은인간,완결,https://shared-comic.pstatic.net/thumb/webtoon/718021/thumbnail/thumbnail_IMAG06_fc0b6ea1-89a0-4928-919d-d38613874eca.jpg
352,공복의 저녁식사,완결,https://shared-comic.pstatic.net/thumb/webtoon/642700/thumbnail/title_thumbnail_20141210154146_t125x101.jpg
353,공주는 잠 못 이루고,완결,https://shared-comic.pstatic.net/thumb/webtoon/655748/thumbnail/title_thumbnail_20150612234533_t125x101.jpg
354,구구까까,완결,https://shared-comic.pstatic.net/thumb/webtoon/684435/thumbnail/title_thumbnail_20160820210349_t125x101.jpg
355,귀도,완결,https://shared-comic.pstatic.net/thumb/webtoon/682222/thumbnail/title_thumbnail_20160711213907_t125x101.jpg
356,남과 여,완결,https://shared-comic.pstatic.net/thumb/webtoon/632341/thumbnail/thumbnail_IMAG06_20190617_migrated.jpg
357,내 ID는 강남미인,완결,https://shared-comic.pstatic.net/thumb/webtoon/677536/thumbnail/title_thumbnail_20161223191029_t125x101.jpg
358,마음의 소리,완결,https://shared-comic.pstatic.net/thumb/webtoon/20853/thumbnail/thumbnail_IMAG06_89061d8c-e491-42f1-8c15-40932e5eb939.jpg
359,목욕의 신,완결,https://shared-comic.pstatic.net/thumb/webtoon/697681/thumbnail/thumbnail_IMAG06_ed4beaa0-52e3-4e1b-8668-7ef6cfdb799c.jpg
360,스위트홈,완결,https://shared-comic.pstatic.net/thumb/webtoon/701081/thumbnail/thumbnail_IMAG06_2580af41-b6b6-4198-a08a-705a3f95b3ae.jpg
361,신과 함께,완결,https://shared-comic.pstatic.net/thumb/webtoon/697685/thumbnail/thumbnail_IMAG06_5ff9e83b-bdf6-4749-b33b-688183b47881.jpg
362,여중생A,완결,https://shared-comic.pstatic.net/thumb/webtoon/647946/thumbnail/title_thumbnail_20150206191335_t125x101.jpg
363,친애하는 X,완결,https://shared-comic.pstatic.net/thumb/webtoon/730204/thumbnail/thumbnail_IMAG06_f758426e-440f-4400-8866-5949cf697ab6.jpg
364,패션왕,완결,https://shared-comic.pstatic.net/thumb/webtoon/325629/thumbnail/title_thumbnail_20110503154911_t125x101.jpg
365,폭풍의 전학생,완결,https://shared-comic.pstatic.net/thumb/webtoon/150388/thumbnail/title_thumbnail_20100331155005_t125x101.jpg
366,하이브,완결,https://shared-comic.pstatic.net/thumb/webtoon/675331/thumbnail/title_thumbnail_20160229184941_t125x101.jpg
367,한번 더 해요,완결,https://shared-comic.pstatic.net/thumb/webtoon/675393/thumbnail/thumbnail_IMAG06_20190617_migrated.jpg
368,죽음에 관하여,완결,https://shared-comic.pstatic.net/thumb/webtoon/703845/thumbnail/thumbnail_IMAG06_9cd5f42f-9836-416a-9680-9abf4bda3fab.jpg
369,치즈인더트랩,완결,https://shared-comic.pstatic.net/thumb/webtoon/720121/thumbnail/thumbnail_IMAG06_554b0b0a-e544-4630-ab8c-7a197f48085b.jpg
370,대학일기,완결,https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t125x101.jpg
371,타인은 지옥이다,완결,https://shared-comic.pstatic.net/thumb/webtoon/708378/thumbnail/thumbnail_IMAG06_f1779b44-0f80-43ed-916f-8211ea6f3dfa.jpg
