id,title,day,thumbnail
52,관계의 종말,"화, 금",https://shared-comic.pstatic.net/thumb/webtoon/752803/thumbnail/thumbnail_IMAG06_e2490e41-f54c-45e9-a8f6-4dc80e2d6b67.jpg
62,삼국지톡,"화, 금",https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG06_23bb66f8-07e3-4d2d-8f3a-c33be03198eb.jpg
108,2020 최애캐의 MBTI,"수, 금, 일",https://shared-comic.pstatic.net/thumb/webtoon/751013/thumbnail/thumbnail_IMAG06_37be715a-ce3f-4579-813a-f3dc29d2ebc3.jpg
206,외모지상주의,금,https://shared-comic.pstatic.net/thumb/webtoon/641253/thumbnail/title_thumbnail_20141120112141_t125x101.jpg
207,갓 오브 하이스쿨,금,https://shared-comic.pstatic.net/thumb/webtoon/318995/thumbnail/title_thumbnail_20110407182655_t125x101.jpg
208,데드퀸,금,https://shared-comic.pstatic.net/thumb/webtoon/753478/thumbnail/thumbnail_IMAG06_90a373da-aeb4-45b3-9b67-ee5ea378f721.jpg
209,재혼 황후,금,https://shared-comic.pstatic.net/thumb/webtoon/735661/thumbnail/thumbnail_IMAG06_1f38280a-63d8-4cb5-a6f8-de828c4d914c.jpg
210,뫼신 사냥꾼,금,https://shared-comic.pstatic.net/thumb/webtoon/751208/thumbnail/thumbnail_IMAG06_ff8db46b-2512-41d9-92be-2287f42ada88.jpg
211,1초,금,https://shared-comic.pstatic.net/thumb/webtoon/725586/thumbnail/thumbnail_IMAG06_32d13c5b-2eb7-41c2-9a27-c8f4d4492b5c.jpg
212,개를 낳았다,금,https://shared-comic.pstatic.net/thumb/webtoon/712362/thumbnail/thumbnail_IMAG06_f2701d49-c21e-4a9f-b929-be12aa60e614.jpg
213,살人스타그램,금,https://shared-comic.pstatic.net/thumb/webtoon/726095/thumbnail/thumbnail_IMAG06_61503b0e-4f1b-4b52-bca4-486f1b567ea9.jpg
214,화장 지워주는 남자,금,https://shared-comic.pstatic.net/thumb/webtoon/710754/thumbnail/thumbnail_IMAG06_9013d5e9-6493-4bc1-9e98-f5e880a9e4e6.jpg
215,더 게이머,금,https://shared-comic.pstatic.net/thumb/webtoon/552960/thumbnail/title_thumbnail_20130905153633_t125x101.jpg
216,낙향문사전,금,https://shared-comic.pstatic.net/thumb/webtoon/746534/thumbnail/thumbnail_IMAG06_e7f57352-5513-44e9-b70d-c52438fcfc26.jpg
217,걸어서 30분,금,https://shared-comic.pstatic.net/thumb/webtoon/700844/thumbnail/thumbnail_IMAG06_cd363345-8cdf-4012-87d0-abc330a98c23.jpg
218,난약,금,https://shared-comic.pstatic.net/thumb/webtoon/729044/thumbnail/thumbnail_IMAG06_85870f54-f6d5-45a2-b6a6-01e6db029b1e.jpg
219,성경의 역사,금,https://shared-comic.pstatic.net/thumb/webtoon/752402/thumbnail/thumbnail_IMAG06_a0722bb7-6b5b-43ae-af03-b68d9efefbf4.jpg
220,구남친이 내게 반했다,금,https://shared-comic.pstatic.net/thumb/webtoon/748534/thumbnail/thumbnail_IMAG06_a323f551-a71e-44df-9d75-434065fdccd0.jpg
221,냐한남자,금,https://shared-comic.pstatic.net/thumb/webtoon/708452/thumbnail/thumbnail_IMAG06_2040811c-f143-45fc-925f-c9eeb2557587.jpg
222,사냥개들,금,https://shared-comic.pstatic.net/thumb/webtoon/727784/thumbnail/thumbnail_IMAG06_b48e17f7-d4e0-4d9d-b6b4-7c3d670c22f8.jpg
223,현혹,금,https://shared-comic.pstatic.net/thumb/webtoon/734040/thumbnail/thumbnail_IMAG06_4fd7f834-3efb-4053-ab4a-653f4a527d67.jpg
224,플레이어,금,https://shared-comic.pstatic.net/thumb/webtoon/745876/thumbnail/thumbnail_IMAG06_dc276e30-31e7-4b0d-b06b-acc1eff9539e.jpg
225,복학생 정순이,금,https://shared-comic.pstatic.net/thumb/webtoon/735243/thumbnail/thumbnail_IMAG06_188eb47c-0c03-4164-8f99-09fa0474948a.jpg
226,백년게임,금,https://shared-comic.pstatic.net/thumb/webtoon/751999/thumbnail/thumbnail_IMAG06_62a21587-1f99-49c4-b4ed-21d1f8e3d030.jpg
227,옆집친구,금,https://shared-comic.pstatic.net/thumb/webtoon/718019/thumbnail/thumbnail_IMAG06_5c3c99e2-516a-4f05-b7e1-43aa14b4f508.jpg
228,피와 나비,금,https://shared-comic.pstatic.net/thumb/webtoon/749633/thumbnail/thumbnail_IMAG06_6e1b7045-b59c-4eae-9ecf-7e37e1d11778.jpg
229,소심한 팔레트,금,https://shared-comic.pstatic.net/thumb/webtoon/729571/thumbnail/thumbnail_IMAG06_75ca2d21-07e7-44a0-ba79-3b4c56c5deef.jpg
230,고래별,금,https://shared-comic.pstatic.net/thumb/webtoon/729767/thumbnail/thumbnail_IMAG06_dab4ef21-b48f-4648-8dd3-e72684293880.jpg
231,금혼령-조선혼인금지령,금,https://shared-comic.pstatic.net/thumb/webtoon/729938/thumbnail/thumbnail_IMAG06_4c3a8161-1d55-4116-abdd-8a21ead342a0.jpg
232,상남자,금,https://shared-comic.pstatic.net/thumb/webtoon/751168/thumbnail/thumbnail_IMAG06_112d043a-f596-4965-bad8-a4b33d379b26.jpg
233,가슴털 로망스,금,https://shared-comic.pstatic.net/thumb/webtoon/729963/thumbnail/thumbnail_IMAG06_ddf1a0eb-d67e-4e89-87fc-5c46231482a0.jpg
234,신상 미스터리 극장,금,https://shared-comic.pstatic.net/thumb/webtoon/740377/thumbnail/thumbnail_IMAG06_2d6815e5-681b-4708-a61e-22cee10de221.jpg
235,얌전한 사이,금,https://shared-comic.pstatic.net/thumb/webtoon/745653/thumbnail/thumbnail_IMAG06_0733084b-d224-4726-b232-3dbdfd1e6d5c.jpg
