id,title,author
1,인생존망,박태준 / 전선욱
2,뷰티풀 군바리,설이 / 윤성원
3,윈드브레이커,조용석
4,소녀의 세계,모랑지
5,파이게임,배진수
6,백수세끼,치즈
7,장씨세가 호위무사,조형근 / 김인호
8,앵무살수,김성진
9,유일무이 로맨스,두부
10,칼가는 소녀,오리
11,오늘의 순정망화,손하기
12,리턴 투 플레이어,인덱스 / 세혼
13,열렙전차,김세훈
14,싸이코 리벤지,기송 / 넴가
15,평범한 8반,영파카
16,링크보이,광진 / 두엽
17,히어로메이커,빤쓰
18,침범,공세리 / 영영이
19,아는 여자애,허니비
20,교환일기,한끼룩
21,사장님을 잠금해제,박성현
22,데드라이프,후렛샤 / 임진국
23,삶이 우리를 속일지라도,김지수
24,닥터 하운드,아루아니 / 레임
25,일진이 사나워,강환영 / 김현아
26,결혼생활 그림일기,은꼼지
27,신의 탑,SIU
28,이것도 친구라고,제야
29,원하는 건 너 하나,"달콤J,박성실 / sage"
30,서브 콤플렉스,소이
31,위대한 방옥숙,매미 / 희세
32,꿈의 기업,문지현
33,노력의 결과,악파
34,와이키키 뱀파이어,요니요니
35,도플갱어의 게임,킹스날 / 쥐주
36,피플,서승준 / 손창균
37,정보전사 202,이작가
38,두근두근 네가 좋아서,서혜은 / 박래모
39,여기 악마가 있어,맷집왕
40,지구멸망버튼,박장고 / 신동구
41,하슬라,까를로스 / 유상진
42,뱀파이어의 꽃,카나리아 / 동물
43,드로잉 레시피,꼬모소이
44,인간의 온도,이재익 / 양세준
45,백호랑,박혬
46,물레,고긱
47,중독연구소,김택기
48,모락모락 왕세자님,원해
49,결백한 사람은 없다,서각
50,블루투스,국승원
