id,title,day,thumbnail
11,오늘의 순정망화,"월, 화, 목",https://shared-comic.pstatic.net/thumb/webtoon/716857/thumbnail/thumbnail_IMAG06_ff0bfef2-824f-4ce9-9bcf-5e651ca64375.jpg
51,여신강림,화,https://shared-comic.pstatic.net/thumb/webtoon/703846/thumbnail/thumbnail_IMAG06_aa715a18-fe51-4adf-b21b-5fc253ed3f32.jpg
52,관계의 종말,"화, 금",https://shared-comic.pstatic.net/thumb/webtoon/752803/thumbnail/thumbnail_IMAG06_e2490e41-f54c-45e9-a8f6-4dc80e2d6b67.jpg
53,후기,화,https://shared-comic.pstatic.net/thumb/webtoon/752072/thumbnail/thumbnail_IMAG06_3692882a-2d10-4a32-b821-fc43159cc829.jpg
54,한림체육관,화,https://shared-comic.pstatic.net/thumb/webtoon/743139/thumbnail/thumbnail_IMAG06_b5984535-3131-49e9-9159-6c778f44eacd.jpg
55,바른연애 길잡이,화,https://shared-comic.pstatic.net/thumb/webtoon/703852/thumbnail/thumbnail_IMAG06_0aacf362-325b-4d8d-ad60-4b7d888b2fdd.jpg
56,랜덤채팅의 그녀!,화,https://shared-comic.pstatic.net/thumb/webtoon/702608/thumbnail/thumbnail_IMAG06_5ef5ed92-f2d4-4e5b-ac21-f4eaa394ba84.jpg
57,하루만 네가 되고 싶어,화,https://shared-comic.pstatic.net/thumb/webtoon/738487/thumbnail/thumbnail_IMAG06_b0651ceb-7866-4245-b283-ab5b030e7c73.jpg
58,사신소년,화,https://shared-comic.pstatic.net/thumb/webtoon/730656/thumbnail/thumbnail_IMAG06_d753f6ee-4b8b-4ff2-a542-31473376a1ad.jpg
59,신도림,화,https://shared-comic.pstatic.net/thumb/webtoon/683496/thumbnail/thumbnail_IMAG06_921056fb-0866-4315-a85d-621b570e488e.jpg
60,헬58,화,https://shared-comic.pstatic.net/thumb/webtoon/719508/thumbnail/thumbnail_IMAG06_44a9b7f3-c59d-431c-8d47-f44cc3a683fa.jpg
61,중증외상센터 : 골든 아워,화,https://shared-comic.pstatic.net/thumb/webtoon/738174/thumbnail/thumbnail_IMAG06_ee30c99b-8f61-4864-a68a-543639028bb9.jpg
62,삼국지톡,"화, 금",https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG06_23bb66f8-07e3-4d2d-8f3a-c33be03198eb.jpg
63,2020 호랑 공포 단편선,화,https://shared-comic.pstatic.net/thumb/webtoon/752534/thumbnail/thumbnail_IMAG06_72023dc4-c381-4df8-a2ce-e35101d677f1.jpg
64,원주민 공포만화,화,https://shared-comic.pstatic.net/thumb/webtoon/698918/thumbnail/thumbnail_IMAG06_1638d308-afb2-496c-ae15-161472551ed9.jpg
65,달콤살벌한 부부,화,https://shared-comic.pstatic.net/thumb/webtoon/753856/thumbnail/thumbnail_IMAG06_60d15f8c-6725-4067-a978-1309035a85f8.jpg
66,집이 없어,화,https://shared-comic.pstatic.net/thumb/webtoon/721433/thumbnail/thumbnail_IMAG06_030f6c8c-39a5-4221-86e0-c4b88c177172.jpg
67,완벽한 가족,화,https://shared-comic.pstatic.net/thumb/webtoon/752531/thumbnail/thumbnail_IMAG06_8b5f72f6-94d7-44e0-8516-86a095114970.jpg
68,견우와 선녀,화,https://shared-comic.pstatic.net/thumb/webtoon/740034/thumbnail/thumbnail_IMAG06_edae4099-48b9-434c-b9b8-d6222e1f40d7.jpg
69,체크포인트,화,https://shared-comic.pstatic.net/thumb/webtoon/677452/thumbnail/thumbnail_IMAG06_6f18a8a0-57b1-4446-8336-159035a16e04.jpg
70,윌유메리미,"화, 토",https://shared-comic.pstatic.net/thumb/webtoon/616239/thumbnail/title_thumbnail_20161031214436_t125x101.jpg
71,빅맨,화,https://shared-comic.pstatic.net/thumb/webtoon/753839/thumbnail/thumbnail_IMAG06_ab5eaa62-d5e3-41a8-b2b8-0a9db1bcf0bc.jpg
72,용왕님의 셰프가 되었습니다,화,https://shared-comic.pstatic.net/thumb/webtoon/741449/thumbnail/thumbnail_IMAG06_3955a6f6-3175-4852-8830-76338629c96b.jpg
73,악마와 계약연애,화,https://shared-comic.pstatic.net/thumb/webtoon/710750/thumbnail/thumbnail_IMAG06_cdf76062-b550-4eba-a17f-98c05edf1a40.jpg
74,ㅋㄷㅋㄷ만화,화,https://shared-comic.pstatic.net/thumb/webtoon/715206/thumbnail/thumbnail_IMAG06_f1d9507c-4b45-47e6-a095-463f9c9ff69e.jpg
